Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
348,Saudi Telecom Company,7010.SR,Saudi Arabia,Communication Services,44.8,59021133450,16.80451,15.684212,2.8116746,0.18136999,2.812,9.794,74474774528,14.931,0.034,0.49437,0.28711,0.15608,0.053000003,0.16514999,21.159,1.712,1.314,34004350976,17338515456,15.898,0.165,3.86,0.60150003,0.035714287,1.6,Other,Other,,,,,,,,,,,
349,Zijin Mining,601899.SS,China,Basic Materials,16.19,58827220401,14.618181,11.089655,3.1892107,0.09810001,1.927,11.227,298791960576,11.344,0.071,0.19137,0.17166,0.15443,0.07309,0.23763001,85.419,1.085,0.558,33552222208,144082911232,5.042,1.405,1.63,0.3176,0.018529957,0.3,Asian Index,Asia,,,,,,,,,,,
350,Ares Management,ARES,United States,Financial Services,179.69,58459893760,85.338234,31.0875,16.923302,0.119370006,13.309,45.244,3884781056,19.615,0.195,0.44832,0.29417,0.23829001,N/A,0.20379,245.28,N/A,N/A,1666051968,14421305344,10.287,1.205,2.88,1.8235,0.020702321,3.72,S&P 500,North America,86400,18.57,0.82,7.03,10.72,2025,2,0,357,LAG_PERF,Diversified Financials
351,CIBC,CM,Canada,Financial Services,61.62,58383802368,11.906066,11.329609,1.0130713,0.30142,2.027,N/A,23605000192,25.129,0.168,0,0,0.39448002,0.00709,0.12755999,N/A,N/A,N/A,273796005888,261893996544,60.055,1.097,5.2,0.4945,0.058422588,3.6,Other,Other,86400,17.18,1.56,8.14,7.48,2025,2,2,454,LAG_PERF,Banks
352,Digital Realty,DLR,United States,Real Estate,172,58137559040,103.35,136.66115,2.701122,0.110860005,13.316,30.24,5434829824,16.809,0.045,0.53986,0.44035,0.1037,0.009,0.02664,77.704,1.378,1.378,3870891008,18008596480,61.219,0.65,3.46,3.0310998,0.028372094,4.88,S&P 500,North America,86400,12.63,4.13,2.77,5.73,2025,2,0,512,LAG_PERF,Real Estate
353,ITC,ITC.NS,India,Consumer Defensive,400.9,57922632728,24.93176,21.208443,6.6818514,0.26311,6.305,18.219,765452025856,61.26,0.043,0.5825,0.34603,0.31644,N/A,N/A,0.402,N/A,N/A,190998691840,3043399936,60.148,0.263,4.05,0.8535,0.034921426,14,Asian Index,Asia,86400,28.03,5.92,14.3,7.81,2023,9,2,9,AVG_PERF,Food Products
354,It?ch? Sh?ji,8001.T,Japan,Industrials,6104,57714201286,10.172945,9.487539,1.5032179,0.05928,0.919,15.047,14618295533568,10183.114,0.019,0.1611,0.06107,0.04563,0.02913,0.15325,75.716,1.286,0.835,667477016576,4818976899072,4085.236,0.566,2.83,0.2981,0.02948886,180,Asian Index,Asia,86400,34.93,12.64,13.82,8.46,2025,2,2,63,LEAD_PERF,Industrial Conglomerates
355,Vistra,VST,United States,Utilities,163.18,57617272832,28.331451,21.802898,17.287981,0.12505001,4.414,11.913,16264999936,46.636,0.539,0.41666,0.37048998,0.41174,0.0642,0.30168,183.15,1.114,0.408,930000000,15847999488,8.702,1.237,2.44,0.16290002,0.005300895,0.865,S&P 500,North America,86400,29.52,18.92,7.41,3.19,2025,2,2,234,AVG_PERF,Utilities
356,Copart,CPRT,United States,Industrials,58.22,57561165824,37.979866,32.522987,6.5764093,0.32272997,11.304,27.82,4506402816,4.679,0.14,0.4582,0.40632,0.36638,0.12142,0.19184999,1.434,7.888,7.51,3797451008,119397000,8.605,1.333,N/A,0,0,0,S&P 500,North America,86400,18.25,3.11,10.08,5.06,2025,2,1,212,LAG_PERF,Commercial Services
357,Aflac,AFL,United States,Financial Services,104.28,57476743168,10.608516,14.248257,2.1528218,0.28757998,3.036,8.673,18926999552,33.648,0.43,0.50869,0.35001,0.4044,0.03384,0.22639999,28.73,13.469,12.23,6229000192,7497999872,47.454,0.988,2.35,0.2077,0.019179134,2,S&P 500,North America,86400,18.58,1.29,8.32,8.97,2025,2,1,180,LAG_PERF,Insurance
